image_id,face_length,face_width,forehead_width,cheekbone_width,jaw_width,aspect_ratio,hair_length,hair_texture,hair_density,style_preference,face_shape_label,target_hairstyle_id,suitability_rating
img_00000,260.4,198.0,200.0,198.0,121.9,1.32,Long,Curly,Medium,unisex,Heart,curtain-bangs,4.9
img_00001,216.2,165.7,158.4,165.7,111.4,1.3,Medium,Wavy,Medium,feminine,Heart,buzz-cut,4.2
img_00002,225.2,184.5,175.7,184.5,120.4,1.22,Long,Wavy,Medium,no_preference,Heart,buzz-cut,5.0
img_00003,213.5,175.3,166.2,175.3,170.3,1.22,Long,Straight,Medium,masculine,Square,long-waves,4.9
img_00004,231.8,182.5,173.7,182.5,113.7,1.27,Long,Coily,Medium,unisex,Heart,buzz-cut,4.5
img_00005,219.2,196.4,188.5,196.4,184.3,1.12,Medium,Wavy,Medium,feminine,Square,buzz-cut,4.2
img_00006,218.2,191.0,174.3,191.0,161.9,1.14,Long,Coily,Medium,feminine,Round,buzz-cut,4.0
img_00007,257.9,175.5,152.1,175.5,137.9,1.47,Short,Straight,Medium,masculine,Oblong,wolf-cut,4.1
img_00008,252.0,190.9,156.6,190.9,150.6,1.32,Short,Coily,Medium,unisex,Oval,curtain-bangs,4.8
img_00009,302.9,197.1,172.1,197.1,164.5,1.54,Medium,Straight,Medium,no_preference,Oblong,french-bob,4.3
img_00010,205.4,183.7,175.1,183.7,173.2,1.12,Long,Wavy,Medium,unisex,Square,textured-crop,4.7
img_00011,206.2,180.9,166.7,180.9,167.6,1.14,Long,Coily,Medium,unisex,Square,textured-crop,4.3
img_00012,245.9,196.3,194.5,196.3,132.6,1.25,Short,Coily,Medium,unisex,Heart,curtain-bangs,4.7
img_00013,261.3,197.2,199.8,197.2,135.5,1.33,Medium,Wavy,Medium,unisex,Heart,long-waves,4.1
img_00014,226.4,172.7,144.0,172.7,132.2,1.31,Short,Straight,Medium,unisex,Oval,french-bob,4.5
img_00015,245.6,179.4,150.0,179.4,135.4,1.37,Long,Wavy,Medium,no_preference,Oval,textured-crop,4.4
img_00016,225.4,170.2,146.6,170.2,133.2,1.32,Short,Straight,Medium,no_preference,Oval,textured-crop,4.3
img_00017,184.9,180.1,156.6,180.1,157.2,1.03,Long,Wavy,Medium,feminine,Round,wolf-cut,4.5
img_00018,207.0,163.2,159.0,163.2,111.1,1.27,Short,Coily,Medium,feminine,Heart,french-bob,4.4
img_00019,224.3,166.0,143.1,166.0,131.4,1.35,Long,Coily,Medium,unisex,Oval,long-waves,4.5
img_00020,190.2,173.9,169.8,173.9,164.2,1.09,Long,Wavy,Medium,no_preference,Square,textured-crop,4.7
img_00021,229.1,164.5,143.6,164.5,124.3,1.39,Medium,Coily,Medium,masculine,Oval,buzz-cut,4.5
img_00022,228.9,199.9,177.7,199.9,174.0,1.15,Long,Straight,Medium,masculine,Round,curtain-bangs,4.7
img_00023,220.8,194.3,189.1,194.3,188.6,1.14,Short,Coily,Medium,no_preference,Square,french-bob,4.7
img_00024,211.9,174.9,171.1,174.9,163.9,1.21,Medium,Wavy,Medium,feminine,Square,french-bob,4.4
img_00025,261.6,169.0,138.4,169.0,132.2,1.55,Long,Curly,Medium,masculine,Oblong,textured-crop,4.5
img_00026,195.2,174.7,163.3,174.7,170.9,1.12,Short,Curly,Medium,feminine,Square,curtain-bangs,4.4
img_00027,274.5,180.1,151.2,180.1,138.6,1.52,Short,Coily,Medium,unisex,Oblong,buzz-cut,4.0
img_00028,226.4,161.7,137.2,161.7,122.4,1.4,Medium,Curly,Medium,no_preference,Oval,textured-crop,5.0
img_00029,282.3,177.1,155.4,177.1,148.0,1.59,Long,Straight,Medium,masculine,Oblong,textured-crop,4.3
img_00030,208.1,182.3,163.8,182.3,154.1,1.14,Medium,Coily,Medium,unisex,Round,french-bob,4.4
img_00031,193.3,171.8,166.8,171.8,159.5,1.13,Medium,Coily,Medium,unisex,Square,wolf-cut,4.3
img_00032,217.9,192.4,175.8,192.4,161.8,1.13,Short,Coily,Medium,masculine,Round,buzz-cut,4.6
img_00033,239.2,195.5,197.0,195.5,125.8,1.22,Long,Wavy,Medium,unisex,Heart,textured-crop,4.2
img_00034,304.8,193.6,158.7,193.6,145.9,1.57,Long,Wavy,Medium,unisex,Oblong,buzz-cut,4.3
img_00035,272.3,170.9,142.9,170.9,142.5,1.59,Medium,Curly,Medium,unisex,Oblong,buzz-cut,4.1
img_00036,191.8,180.7,163.6,180.7,148.4,1.06,Medium,Curly,Medium,feminine,Round,wolf-cut,4.2
img_00037,244.9,187.5,164.1,187.5,143.8,1.31,Medium,Wavy,Medium,no_preference,Oval,textured-crop,4.7
img_00038,280.7,185.5,158.2,185.5,147.2,1.51,Short,Curly,Medium,unisex,Oblong,buzz-cut,4.6
img_00039,205.9,190.3,176.4,190.3,175.6,1.08,Short,Wavy,Medium,feminine,Square,french-bob,4.7
img_00040,212.0,160.7,165.6,160.7,102.0,1.32,Medium,Wavy,Medium,masculine,Heart,long-waves,4.6
img_00041,286.7,195.5,156.6,195.5,164.8,1.47,Short,Coily,Medium,masculine,Oblong,wolf-cut,4.2
img_00042,176.5,161.1,147.5,161.1,136.3,1.1,Medium,Curly,Medium,no_preference,Round,textured-crop,4.5
img_00043,225.1,192.8,186.9,192.8,184.9,1.17,Long,Coily,Medium,masculine,Square,wolf-cut,4.2
img_00044,177.8,161.6,141.1,161.6,137.7,1.1,Short,Wavy,Medium,feminine,Round,long-waves,4.3
img_00045,187.8,171.3,164.7,171.3,164.0,1.1,Short,Coily,Medium,no_preference,Square,textured-crop,4.8
img_00046,244.2,181.9,155.4,181.9,140.9,1.34,Long,Coily,Medium,no_preference,Oval,long-waves,4.3
img_00047,261.5,169.5,145.7,169.5,131.2,1.54,Medium,Straight,Medium,masculine,Oblong,french-bob,4.5
img_00048,240.1,172.8,145.7,172.8,128.0,1.39,Short,Curly,Medium,no_preference,Oval,textured-crop,4.3
img_00049,238.2,182.9,182.0,182.9,115.1,1.3,Short,Coily,Medium,unisex,Heart,wolf-cut,4.8
img_00050,229.2,164.5,144.5,164.5,131.6,1.39,Medium,Straight,Medium,unisex,Oval,wolf-cut,4.4
img_00051,220.5,198.7,180.6,198.7,172.8,1.11,Medium,Curly,Medium,feminine,Round,wolf-cut,4.2
img_00052,264.4,192.9,159.1,192.9,143.7,1.37,Long,Coily,Medium,no_preference,Oval,wolf-cut,4.4
img_00053,226.7,169.5,171.0,169.5,107.6,1.34,Long,Curly,Medium,masculine,Heart,buzz-cut,4.6
img_00054,191.4,169.9,160.8,169.9,158.9,1.13,Medium,Coily,Medium,feminine,Square,long-waves,4.7
img_00055,299.8,192.9,164.8,192.9,149.3,1.55,Short,Curly,Medium,no_preference,Oblong,textured-crop,4.1
img_00056,235.9,168.9,138.7,168.9,134.8,1.4,Short,Curly,Medium,masculine,Oval,french-bob,4.9
img_00057,210.5,163.0,170.6,163.0,106.3,1.29,Short,Straight,Medium,feminine,Heart,textured-crop,4.6
img_00058,213.0,196.0,183.7,196.0,191.5,1.09,Medium,Coily,Medium,no_preference,Square,buzz-cut,4.3
img_00059,181.0,167.5,146.5,167.5,141.8,1.08,Short,Straight,Medium,no_preference,Round,curtain-bangs,4.7
img_00060,229.6,171.2,146.6,171.2,129.5,1.34,Short,Wavy,Medium,unisex,Oval,wolf-cut,4.9
img_00061,220.4,189.0,178.7,189.0,184.5,1.17,Medium,Curly,Medium,masculine,Square,wolf-cut,4.0
img_00062,257.6,191.1,168.0,191.1,145.7,1.35,Medium,Curly,Medium,masculine,Oval,french-bob,4.8
img_00063,260.7,193.5,163.5,193.5,146.4,1.35,Long,Wavy,Medium,no_preference,Oval,textured-crop,4.5
img_00064,303.8,199.9,172.2,199.9,168.8,1.52,Medium,Curly,Medium,masculine,Oblong,wolf-cut,4.5
img_00065,269.6,198.2,165.2,198.2,154.6,1.36,Medium,Coily,Medium,unisex,Oval,long-waves,4.5
img_00066,216.8,180.8,172.3,180.8,172.4,1.2,Medium,Curly,Medium,masculine,Square,textured-crop,4.1
img_00067,285.9,184.8,151.0,184.8,141.1,1.55,Medium,Wavy,Medium,feminine,Oblong,long-waves,4.6
img_00068,193.4,163.6,155.9,163.6,155.0,1.18,Long,Coily,Medium,feminine,Square,long-waves,4.9
img_00069,288.3,191.9,166.4,191.9,158.6,1.5,Short,Wavy,Medium,feminine,Oblong,wolf-cut,4.3
img_00070,206.6,183.2,174.4,183.2,173.6,1.13,Long,Curly,Medium,feminine,Square,buzz-cut,4.2
img_00071,263.9,195.9,168.5,195.9,147.0,1.35,Medium,Curly,Medium,unisex,Oval,wolf-cut,4.2
img_00072,212.9,173.9,174.8,173.9,113.6,1.22,Medium,Wavy,Medium,feminine,Heart,textured-crop,4.5
img_00073,248.3,172.9,144.9,172.9,141.5,1.44,Medium,Curly,Medium,unisex,Oblong,wolf-cut,4.0
img_00074,253.2,192.2,186.2,192.2,119.4,1.32,Long,Coily,Medium,feminine,Heart,french-bob,4.6
img_00075,194.6,189.9,164.8,189.9,162.8,1.02,Long,Curly,Medium,feminine,Round,curtain-bangs,4.5
img_00076,288.9,194.7,161.9,194.7,148.1,1.48,Long,Straight,Medium,no_preference,Oblong,long-waves,4.6
img_00077,224.5,168.5,139.3,168.5,133.7,1.33,Short,Coily,Medium,feminine,Oval,curtain-bangs,4.6
img_00078,178.2,163.5,145.7,163.5,140.5,1.09,Short,Coily,Medium,unisex,Round,long-waves,4.3
img_00079,240.5,185.8,183.2,185.8,129.8,1.29,Short,Straight,Medium,masculine,Heart,wolf-cut,4.1
img_00080,238.9,194.0,200.0,194.0,117.5,1.23,Short,Curly,Medium,unisex,Heart,curtain-bangs,4.0
img_00081,287.0,199.3,165.8,199.3,168.8,1.44,Long,Wavy,Medium,feminine,Oblong,textured-crop,4.5
img_00082,227.7,192.8,183.6,192.8,182.9,1.18,Short,Coily,Medium,masculine,Square,french-bob,5.0
img_00083,227.6,177.0,172.5,177.0,108.2,1.29,Medium,Wavy,Medium,no_preference,Heart,french-bob,4.6
img_00084,221.9,197.3,188.5,197.3,185.9,1.12,Medium,Straight,Medium,unisex,Square,long-waves,5.0
img_00085,269.0,187.4,152.0,187.4,140.6,1.44,Short,Curly,Medium,unisex,Oblong,french-bob,4.4
img_00086,266.7,194.0,163.9,194.0,154.4,1.37,Long,Straight,Medium,feminine,Oval,buzz-cut,4.4
img_00087,257.4,189.6,165.1,189.6,141.9,1.36,Short,Straight,Medium,feminine,Oval,buzz-cut,4.2
img_00088,244.9,167.5,142.5,167.5,140.8,1.46,Short,Straight,Medium,feminine,Oblong,textured-crop,4.7
img_00089,213.7,185.0,175.0,185.0,176.6,1.16,Short,Straight,Medium,unisex,Square,long-waves,4.5
img_00090,207.2,181.7,170.8,181.7,175.1,1.14,Medium,Coily,Medium,no_preference,Square,wolf-cut,4.5
img_00091,210.9,191.5,179.8,191.5,179.1,1.1,Long,Straight,Medium,feminine,Square,buzz-cut,4.6
img_00092,201.0,179.8,154.1,179.8,151.5,1.12,Long,Coily,Medium,masculine,Round,buzz-cut,4.4
img_00093,273.8,181.6,151.2,181.6,150.2,1.51,Long,Curly,Medium,unisex,Oblong,curtain-bangs,4.6
img_00094,181.1,170.1,146.7,170.1,148.4,1.06,Medium,Wavy,Medium,no_preference,Round,long-waves,4.9
img_00095,243.3,196.5,188.6,196.5,122.9,1.24,Long,Coily,Medium,no_preference,Heart,buzz-cut,4.9
img_00096,304.7,196.9,159.9,196.9,159.0,1.55,Medium,Straight,Medium,feminine,Oblong,curtain-bangs,4.7
img_00097,265.0,197.0,162.9,197.0,157.4,1.35,Medium,Coily,Medium,feminine,Oval,textured-crop,4.3
img_00098,208.6,183.7,169.6,183.7,172.7,1.14,Short,Straight,Medium,feminine,Square,textured-crop,4.1
img_00099,243.1,181.5,178.7,181.5,115.2,1.34,Medium,Curly,Medium,masculine,Heart,curtain-bangs,4.0
img_00100,183.0,165.6,157.3,165.6,156.5,1.1,Short,Straight,Medium,masculine,Square,curtain-bangs,4.6
img_00101,216.9,168.5,176.5,168.5,108.8,1.29,Medium,Wavy,Medium,no_preference,Heart,wolf-cut,4.2
img_00102,231.0,172.4,145.8,172.4,135.8,1.34,Medium,Coily,Medium,feminine,Oval,wolf-cut,4.6
img_00103,272.2,178.9,144.0,178.9,148.0,1.52,Long,Wavy,Medium,feminine,Oblong,french-bob,4.4
img_00104,201.4,179.9,154.2,179.9,148.7,1.12,Long,Curly,Medium,unisex,Round,long-waves,4.3
img_00105,180.5,176.3,151.8,176.3,151.2,1.02,Short,Coily,Medium,masculine,Round,textured-crop,4.2
img_00106,209.7,180.2,169.5,180.2,172.0,1.16,Long,Straight,Medium,no_preference,Square,long-waves,4.8
img_00107,240.6,198.5,184.3,198.5,187.5,1.21,Long,Coily,Medium,feminine,Square,long-waves,4.1
img_00108,234.0,161.1,136.4,161.1,127.6,1.45,Medium,Straight,Medium,unisex,Oblong,wolf-cut,4.3
img_00109,206.0,193.0,164.5,193.0,167.2,1.07,Short,Wavy,Medium,no_preference,Round,french-bob,4.4
img_00110,273.3,171.8,147.9,171.8,131.2,1.59,Medium,Wavy,Medium,no_preference,Oblong,curtain-bangs,4.9
img_00111,242.4,179.4,155.1,179.4,140.3,1.35,Short,Curly,Medium,masculine,Oval,french-bob,4.6
img_00112,221.0,165.3,168.5,165.3,110.5,1.34,Medium,Wavy,Medium,no_preference,Heart,wolf-cut,4.8
img_00113,231.7,171.0,146.9,171.0,135.0,1.36,Long,Straight,Medium,feminine,Oval,french-bob,4.1
img_00114,234.4,170.7,142.5,170.7,132.8,1.37,Short,Curly,Medium,feminine,Oval,wolf-cut,4.8
img_00115,265.3,175.3,140.9,175.3,134.4,1.51,Long,Straight,Medium,unisex,Oblong,wolf-cut,4.6
img_00116,183.7,162.7,143.3,162.7,142.1,1.13,Long,Curly,Medium,no_preference,Round,curtain-bangs,4.9
img_00117,263.4,179.4,151.2,179.4,137.4,1.47,Long,Straight,Medium,feminine,Oblong,curtain-bangs,4.6
img_00118,200.0,184.9,161.7,184.9,153.1,1.08,Short,Straight,Medium,masculine,Round,curtain-bangs,4.6
img_00119,234.7,169.9,147.4,169.9,132.8,1.38,Medium,Wavy,Medium,feminine,Oval,buzz-cut,4.4
img_00120,258.7,192.3,197.9,192.3,128.7,1.35,Short,Curly,Medium,no_preference,Heart,french-bob,5.0
img_00121,225.8,189.3,181.6,189.3,182.0,1.19,Medium,Coily,Medium,masculine,Square,long-waves,4.5
img_00122,241.8,199.5,184.0,199.5,192.0,1.21,Long,Straight,Medium,unisex,Square,long-waves,4.6
img_00123,178.7,172.5,155.5,172.5,140.7,1.04,Medium,Curly,Medium,unisex,Round,wolf-cut,4.5
img_00124,244.5,193.8,200.2,193.8,117.0,1.26,Long,Coily,Medium,unisex,Heart,buzz-cut,4.1
img_00125,212.8,195.4,172.1,195.4,162.6,1.09,Long,Curly,Medium,no_preference,Round,textured-crop,4.5
img_00126,256.2,189.5,160.3,189.5,150.2,1.35,Medium,Curly,Medium,unisex,Oval,long-waves,5.0
img_00127,225.0,195.0,190.4,195.0,188.7,1.15,Long,Wavy,Medium,no_preference,Square,wolf-cut,4.8
img_00128,243.3,161.5,136.7,161.5,125.5,1.51,Short,Wavy,Medium,feminine,Oblong,textured-crop,4.3
img_00129,237.1,189.5,182.1,189.5,120.4,1.25,Medium,Wavy,Medium,no_preference,Heart,long-waves,4.2
img_00130,238.0,171.1,140.8,171.1,127.7,1.39,Short,Coily,Medium,no_preference,Oval,buzz-cut,5.0
img_00131,274.9,191.5,159.6,191.5,160.4,1.44,Medium,Coily,Medium,unisex,Oblong,french-bob,4.6
img_00132,247.9,189.7,160.2,189.7,149.9,1.31,Medium,Straight,Medium,unisex,Oval,wolf-cut,4.1
img_00133,185.6,167.1,155.6,167.1,161.5,1.11,Medium,Straight,Medium,masculine,Square,french-bob,5.0
img_00134,245.7,180.7,153.9,180.7,136.6,1.36,Long,Wavy,Medium,feminine,Oval,french-bob,5.0
img_00135,214.1,192.6,179.8,192.6,183.4,1.11,Short,Coily,Medium,feminine,Square,wolf-cut,4.1
img_00136,233.1,175.6,149.1,175.6,130.4,1.33,Medium,Coily,Medium,feminine,Oval,textured-crop,4.3
img_00137,238.2,182.0,153.7,182.0,138.8,1.31,Long,Straight,Medium,no_preference,Oval,long-waves,4.5
img_00138,260.5,168.8,136.1,168.8,141.0,1.54,Short,Coily,Medium,feminine,Oblong,wolf-cut,4.9
img_00139,204.3,173.9,165.9,173.9,162.8,1.17,Medium,Coily,Medium,unisex,Square,buzz-cut,4.9
img_00140,187.5,166.4,155.5,166.4,162.4,1.13,Long,Curly,Medium,feminine,Square,buzz-cut,4.2
img_00141,227.3,198.5,193.0,198.5,182.6,1.15,Long,Straight,Medium,feminine,Square,long-waves,4.8
img_00142,256.2,180.3,148.4,180.3,146.3,1.42,Short,Straight,Medium,masculine,Oblong,long-waves,4.6
img_00143,275.2,191.2,164.6,191.2,153.7,1.44,Medium,Curly,Medium,no_preference,Oblong,buzz-cut,4.2
img_00144,260.7,164.1,140.3,164.1,124.2,1.59,Long,Coily,Medium,masculine,Oblong,buzz-cut,4.1
img_00145,183.9,178.9,153.0,178.9,155.4,1.03,Medium,Coily,Medium,unisex,Round,wolf-cut,4.4
img_00146,196.0,165.2,152.2,165.2,152.2,1.19,Medium,Curly,Medium,unisex,Square,curtain-bangs,4.3
img_00147,179.8,166.4,152.4,166.4,134.4,1.08,Short,Curly,Medium,unisex,Round,wolf-cut,4.7
img_00148,255.6,193.6,188.4,193.6,118.7,1.32,Long,Straight,Medium,feminine,Heart,buzz-cut,4.0
img_00149,295.7,197.7,168.3,197.7,156.2,1.5,Short,Straight,Medium,unisex,Oblong,curtain-bangs,4.4
img_00150,248.9,189.0,183.3,189.0,129.8,1.32,Medium,Curly,Medium,no_preference,Heart,curtain-bangs,5.0
img_00151,268.3,194.7,168.7,194.7,154.0,1.38,Long,Curly,Medium,masculine,Oval,buzz-cut,4.0
img_00152,247.2,198.7,197.9,198.7,119.2,1.24,Long,Straight,Medium,feminine,Heart,buzz-cut,4.2
img_00153,226.7,168.0,138.4,168.0,130.2,1.35,Short,Wavy,Medium,no_preference,Oval,curtain-bangs,5.0
img_00154,209.8,160.5,135.4,160.5,123.4,1.31,Long,Wavy,Medium,no_preference,Oval,curtain-bangs,4.7
img_00155,275.5,198.1,171.1,198.1,155.5,1.39,Short,Straight,Medium,no_preference,Oval,textured-crop,4.6
img_00156,243.2,188.1,178.9,188.1,119.0,1.29,Medium,Straight,Medium,masculine,Heart,textured-crop,4.4
img_00157,257.8,193.0,162.0,193.0,154.1,1.34,Medium,Wavy,Medium,feminine,Oval,long-waves,4.8
img_00158,172.3,166.7,149.1,166.7,142.8,1.03,Medium,Straight,Medium,feminine,Round,textured-crop,4.1
img_00159,261.3,188.4,162.5,188.4,148.4,1.39,Medium,Curly,Medium,unisex,Oval,curtain-bangs,4.9
img_00160,243.1,183.9,183.5,183.9,111.1,1.32,Medium,Wavy,Medium,unisex,Heart,long-waves,4.1
img_00161,221.8,166.4,161.7,166.4,116.1,1.33,Short,Coily,Medium,masculine,Heart,wolf-cut,4.7
img_00162,180.3,166.5,159.7,166.5,156.5,1.08,Short,Curly,Medium,unisex,Square,buzz-cut,4.2
img_00163,192.2,168.8,157.4,168.8,163.8,1.14,Short,Wavy,Medium,masculine,Square,long-waves,4.7
img_00164,243.6,185.2,190.1,185.2,120.4,1.32,Medium,Straight,Medium,unisex,Heart,textured-crop,4.4
img_00165,268.8,175.8,149.1,175.8,145.8,1.53,Long,Wavy,Medium,unisex,Oblong,curtain-bangs,4.3
img_00166,258.1,168.4,143.3,168.4,138.7,1.53,Long,Wavy,Medium,no_preference,Oblong,buzz-cut,4.9
img_00167,194.3,169.5,146.2,169.5,147.2,1.15,Short,Straight,Medium,feminine,Round,french-bob,4.9
img_00168,244.2,186.5,160.2,186.5,141.5,1.31,Medium,Curly,Medium,masculine,Oval,wolf-cut,4.3
img_00169,222.4,165.2,164.5,165.2,103.0,1.35,Long,Wavy,Medium,feminine,Heart,long-waves,4.4
img_00170,246.5,193.2,188.3,193.2,127.8,1.28,Short,Straight,Medium,no_preference,Heart,french-bob,4.2
img_00171,246.1,184.2,157.0,184.2,145.0,1.34,Long,Curly,Medium,feminine,Oval,buzz-cut,4.5
img_00172,209.6,170.8,171.3,170.8,118.5,1.23,Short,Straight,Medium,unisex,Heart,curtain-bangs,4.5
img_00173,235.3,163.5,138.5,163.5,133.9,1.44,Short,Wavy,Medium,no_preference,Oblong,curtain-bangs,4.0
